"chart_date","rank","artist","title","aus_flag","last_week","peak","weeks_in"
2024-06-03,1,"Tommy Richman","Million Dollar Baby",FALSE,"1",1,5
2024-06-03,2,"Shaboozey","A Bar Song (Tipsy)",FALSE,"3",2,6
2024-06-03,3,"Post Malone Feat. Morgan Wallen","I Had Some Help",FALSE,"2",1,3
2024-06-03,4,"Sabrina Carpenter","Espresso",FALSE,"4",1,7
2024-06-03,5,"Billie Eilish","Lunch",FALSE,"5",5,2
2024-06-03,6,"Billie Eilish","Birds Of A Feather",FALSE,"8",6,2
2024-06-03,7,"Kendrick Lamar","Not Like Us",FALSE,"6",5,4
2024-06-03,8,"Hozier","Too Sweet",FALSE,"10",1,10
2024-06-03,9,"Billie Eilish","Chihiro",FALSE,"7",7,2
2024-06-03,10,"Taylor Swift Feat. Post Malone","Fortnight",FALSE,"9",1,6
2024-06-03,11,"Artemas","I like the way you kiss me",FALSE,"11",3,10
2024-06-03,12,"Zach Bryan","Pink Skies",FALSE,"–",12,1
2024-06-03,13,"Central Cee Feat. Lil Baby","Band4Band",FALSE,"–",13,1
2024-06-03,14,"Myles Smith","Stargazing",FALSE,"14",14,3
2024-06-03,15,"Ariana Grande","We Can't Be Friends (Wait For Your Love)",FALSE,"13",2,12
2024-06-03,16,"Taylor Swift","I Can Do It With a Broken Heart",FALSE,"12",6,5
2024-06-03,17,"Mark Ambor","Belong Together",FALSE,"17",12,9
2024-06-03,18,"Benson Boone","Slow It Down",FALSE,"18",11,9
2024-06-03,19,"Future, Metro Boomin","Like That",FALSE,"15",4,10
2024-06-03,20,"Taylor Swift","Down Bad",FALSE,"16",2,6
2024-05-27,1,"Tommy Richman","Million Dollar Baby",FALSE,"2",1,4
2024-05-27,2,"Post Malone Feat. Morgan Wallen","I Had Some Help",FALSE,"1",1,2
2024-05-27,3,"Shaboozey","A Bar Song (Tipsy)",FALSE,"3",3,5
2024-05-27,4,"Sabrina Carpenter","Espresso",FALSE,"4",1,6
2024-05-27,5,"Billie Eilish","Lunch",FALSE,"–",5,1
2024-05-27,6,"Kendrick Lamar","Not Like Us",FALSE,"5",5,3
2024-05-27,7,"Billie Eilish","Chihiro",FALSE,"–",7,1
2024-05-27,8,"Billie Eilish","Birds Of A Feather",FALSE,"–",8,1
2024-05-27,9,"Taylor Swift Feat. Post Malone","Fortnight",FALSE,"6",1,5
2024-05-27,10,"Hozier","Too Sweet",FALSE,"7",1,9
2024-05-27,11,"Artemas","I like the way you kiss me",FALSE,"8",3,9
